Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Fri Jun 21 10:59:52 2019,6,correct,5000,100,500,50,0.1,[50],0.0463,1.334,0.1983,0.1766,-0.2119,0.4355,-4.6562,56
Fri Jun 21 11:01:58 2019,6,correct,5000,100,500,50,0.2,[50],0.1159,1.9179,0.3399,0.2892,-0.3993,-0.2974,-9.6054,52
Fri Jun 21 11:03:51 2019,0,"mae, maxae, ae, correct",5000,100,500,50,0.4,[50],0.4867,1.0183,0.8902,0.6644,-0.9367,-0.8505,-23.6031,43
Fri Jun 21 11:06:23 2019,2,"mse, rmse, correct",5000,100,500,50,0.1,"[50, 50, 50, 150]",0.0175,1.6167,0.1697,0.1164,0.0418,4.7443,0.823,56
Fri Jun 21 11:08:55 2019,2,correct,5000,100,500,50,0.2,"[50, 50, 50, 150]",0.02,1.0341,0.1875,0.1254,0.0558,5.4091,1.0752,56
Fri Jun 21 11:11:26 2019,6,correct,5000,100,500,50,0.4,"[50, 50, 50, 150]",0.0314,1.0586,0.1724,0.1499,-0.1771,0.3728,-3.9071,47
Fri Jun 21 11:13:22 2019,2,correct,5000,100,500,50,0.1,[200],0.0353,0.8113,0.226,0.1696,0.2028,10.1376,3.6043,56
Fri Jun 21 11:15:22 2019,0,"lincor, mae, maxae, ae, correct",5000,100,500,50,0.2,[200],0.5795,0.4572,0.9918,0.7321,-1.0316,-0.9134,-25.594,43
Fri Jun 21 11:17:24 2019,2,correct,5000,100,500,50,0.4,[200],0.0168,0.7228,0.1619,0.1169,0.0988,5.7399,1.4249,56
Fri Jun 21 11:20:56 2019,4,"mse, mre, rmse, correct",5000,100,500,50,0.1,"[200, 200, 200, 150]",0.0085,1.035,0.1112,0.0829,0.0133,2.7132,0.2382,56
Fri Jun 21 11:24:26 2019,3,"mse, mre, rmse, correct",5000,100,500,50,0.2,"[200, 200, 200, 150]",0.0087,1.2594,0.1097,0.0825,0.0053,2.4994,0.0792,56
Fri Jun 21 11:27:55 2019,1,"rmse, correct",5000,100,500,50,0.4,"[200, 200, 200, 150]",0.0099,1.4934,0.113,0.0858,-0.0009,2.3449,-0.3681,60
Fri Jun 21 11:30:32 2019,8,correct,5000,100,500,50,0.1,[400],0.0106,2.1442,0.1194,0.0937,-0.0271,2.1727,-0.5964,60
Fri Jun 21 11:33:04 2019,1,correct,5000,100,500,50,0.2,[400],0.2883,1.7102,0.6806,0.5227,0.6661,33.3028,12.4621,56
Fri Jun 21 11:35:44 2019,1,correct,5000,100,500,50,0.4,[400],0.2326,1.5266,0.5934,0.4622,0.5897,29.4864,11.1004,56
